Incident energy,
Incident energy,
Incident energy,Ïƒ(E)
400000.0,9.7922E-8
425000.0,2.93766E-7
450000.0,4.8961E-7
475000.0,6.85454E-7
500000.0,8.96305E-7
525000.0,1.12216E-6
550000.0,3.02637E-6
575000.0,6.60892E-6
600000.0,1.37449E-5
630000.0,2.44342E-5
660000.0,3.51235E-5
690000.0,5.2313E-5
720000.0,9.72844E-5
760000.0,1.50537E-4
800000.0,2.25582E-4
840000.0,3.22417E-4
880000.0,4.26118E-4
920000.0,5.71012E-4
960000.0,7.22772E-4
1000000.0,0.001548276
1100000.0,0.003310215
1200000.0,0.00506571
1300000.0,0.006936165
1400000.0,0.00960177
1500000.0,0.01313905
1600000.0,0.01765745
1700000.0,0.0232753
1800000.0,0.0301011
1900000.0,0.03822065
2000000.0,0.0476866
2100000.0,0.0585108
2200000.0,0.07066015
2300000.0,0.0840569
2400000.0,0.09858335
2500000.0,0.1140895
2600000.0,0.1304045
2700000.0,0.1473485
2800000.0,0.164823
2900000.0,0.182559
3000000.0,0.200295
3100000.0,0.217979667
3200000.0,0.235613
3300000.0,0.253246333
3400000.0,0.270576
3500000.0,0.287602
3600000.0,0.30430325
3700000.0,0.32067975
3800000.0,0.33670525
3900000.0,0.35237975
4000000.0,0.367603833
4100000.0,0.3823775
4200000.0,0.397151167
4300000.0,0.4113735
4400000.0,0.4250445
4500000.0,0.4387155
4600000.0,0.451810167
4700000.0,0.4643285
4800000.0,0.476846833
4900000.0,0.488749
5000000.0,0.500035
5100000.0,0.511321
5200000.0,0.521945833
5300000.0,0.5319095
5400000.0,0.541873167
5500000.0,0.551139667
5600000.0,0.559709
5700000.0,0.568278333
5800000.0,0.5761335
5900000.0,0.5832745
6000000.0,0.5904155
6100000.0,0.596852333
6200000.0,0.602585
6300000.0,0.608317667
6400000.0,0.6133835
6500000.0,0.6177825
6600000.0,0.6221815
6700000.0,0.6259755
6800000.0,0.6291645
6900000.0,0.6323535
7000000.0,0.63494075
7100000.0,0.63692625
7200000.0,0.63891175
7300000.0,0.64089725
7400000.0,0.642341125
7500000.0,0.643243375
7600000.0,0.644145625
7700000.0,0.645047875
7800000.0,0.645603
7900000.0,0.645811
8000000.0,0.646019
8100000.0,0.645924143
8200000.0,0.645526429
8300000.0,0.645128714
8400000.0,0.644731
8500000.0,0.644333286
8600000.0,0.643935571
8700000.0,0.643537857
8800000.0,0.64288415
8900000.0,0.64197445
9000000.0,0.64106475
9100000.0,0.64015505
9200000.0,0.63924535
9300000.0,0.63833565
9400000.0,0.63742595
9500000.0,0.63651625
9600000.0,0.63560655
9700000.0,0.63469685
9800000.0,0.633515
9900000.0,0.632061
1.0E7,0.630607
1.01E7,0.629153
1.02E7,0.627699
1.03E7,0.626245
1.04E7,0.624417
1.05E7,0.622215
1.06E7,0.620013
1.07E7,0.617811
1.08E7,0.61511975
1.09E7,0.61193925
1.1E7,0.60875875
1.11E7,0.60557825
1.12E7,0.601828167
1.13E7,0.5975085
1.14E7,0.593188833
1.15E7,0.588287833
1.16E7,0.5828055
1.17E7,0.577323167
1.18E7,0.571210167
1.19E7,0.5644665
1.2E7,0.557722833
1.21E7,0.550347833
1.22E7,0.5423415
1.23E7,0.534335167
1.24E7,0.525752833
1.25E7,0.5165945
1.26E7,0.507436167
1.27E7,0.497812167
1.28E7,0.4877225
1.29E7,0.477632833
1.3E7,0.467156167
1.31E7,0.4562925
1.32E7,0.445428833
1.33E7,0.434565167
1.34E7,0.4237015
1.35E7,0.412837833
1.36E7,0.4019793
1.37E7,0.3911259
1.38E7,0.3802725
1.39E7,0.3694191
1.4E7,0.3585657
1.41E7,0.34801
1.42E7,0.337752
1.43E7,0.327494
1.44E7,0.317574667
1.45E7,0.307994
1.46E7,0.298413333
1.47E7,0.289222833
1.48E7,0.2804225
1.49E7,0.271622167
1.5E7,0.26316425
1.51E7,0.25504875
1.52E7,0.24720775
1.53E7,0.23964125
1.54E7,0.2323445
1.55E7,0.2253175
1.56E7,0.21855025
1.57E7,0.21204275
1.58E7,0.205783
1.59E7,0.199771
1.6E7,0.19399225
1.61E7,0.18844675
1.62E7,0.1831195
1.63E7,0.1780105
1.64E7,0.17310425
1.65E7,0.16840075
1.66E7,0.1638845
1.67E7,0.1595555
1.68E7,0.1553985
1.69E7,0.1514135
1.7E7,0.1475865
1.71E7,0.1439175
1.72E7,0.140426333
1.73E7,0.137113
1.74E7,0.133799667
1.75E7,0.130675333
1.76E7,0.12774
1.77E7,0.124804667
1.78E7,0.1220335
1.79E7,0.1194265
1.8E7,0.1168195
1.81E7,0.114355167
1.82E7,0.1120335
1.83E7,0.109711833
1.84E7,0.107514
1.85E7,0.10544
1.86E7,0.103366
1.87E7,0.101399883
1.88E7,0.09954165
1.89E7,0.097683417
1.9E7,0.09591885
1.91E7,0.09424795
1.92E7,0.09257705
1.93E7,0.090987867
1.94E7,0.0894804
1.95E7,0.087972933
1.96E7,0.0865369
1.97E7,0.0851723
1.98E7,0.0838077
1.99E7,0.082486
2.0E7,0.0
